LocationID,Borough,Zone,service_zone,Corrresponding Transit District 
1,EWR,Newark Airport,EWR,NA
2,Queens,Jamaica Bay,Boro Zone,NA
3,Bronx,Allerton/Pelham Gardens,Boro Zone,12
4,Manhattan,Alphabet City,Yellow Zone,4
5,Staten Island,Arden Heights,Boro Zone,NA
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,NA
7,Queens,Astoria,Boro Zone,20
8,Queens,Astoria Park,Boro Zone,20
9,Queens,Auburndale,Boro Zone,NA
10,Queens,Baisley Park,Boro Zone,NA
11,Brooklyn,Bath Beach,Boro Zone,34
12,Manhattan,Battery Park,Yellow Zone,2
13,Manhattan,Battery Park City,Yellow Zone,2
14,Brooklyn,Bay Ridge,Boro Zone,34
15,Queens,Bay Terrace/Fort Totten,Boro Zone,NA
16,Queens,Bayside,Boro Zone,NA
17,Brooklyn,Bedford,Boro Zone,32
18,Bronx,Bedford Park,Boro Zone,11
19,Queens,Bellerose,Boro Zone,NA
20,Bronx,Belmont,Boro Zone,11
21,Brooklyn,Bensonhurst East,Boro Zone,34
22,Brooklyn,Bensonhurst West,Boro Zone,34
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,NA
24,Manhattan,Bloomingdale,Yellow Zone,3
25,Brooklyn,Boerum Hill,Boro Zone,32
26,Brooklyn,Borough Park,Boro Zone,34
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,23
28,Queens,Briarwood/Jamaica Hills,Boro Zone,20
29,Brooklyn,Brighton Beach,Boro Zone,34
30,Queens,Broad Channel,Boro Zone,23
31,Bronx,Bronx Park,Boro Zone,12
32,Bronx,Bronxdale,Boro Zone,12
33,Brooklyn,Brooklyn Heights,Boro Zone,30
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,30
35,Brooklyn,Brownsville,Boro Zone,32
36,Brooklyn,Bushwick North,Boro Zone,33
37,Brooklyn,Bushwick South,Boro Zone,33
38,Queens,Cambria Heights,Boro Zone,NA
39,Brooklyn,Canarsie,Boro Zone,33
40,Brooklyn,Carroll Gardens,Boro Zone,30
41,Manhattan,Central Harlem,Boro Zone,3
42,Manhattan,Central Harlem North,Boro Zone,3
43,Manhattan,Central Park,Yellow Zone,1
44,Staten Island,Charleston/Tottenville,Boro Zone,NA
45,Manhattan,Chinatown,Yellow Zone,4
46,Bronx,City Island,Boro Zone,NA
47,Bronx,Claremont/Bathgate,Boro Zone,11
48,Manhattan,Clinton East,Yellow Zone,1
49,Brooklyn,Clinton Hill,Boro Zone,30
50,Manhattan,Clinton West,Yellow Zone,1
51,Bronx,Co-Op City,Boro Zone,12
52,Brooklyn,Cobble Hill,Boro Zone,30
53,Queens,College Point,Boro Zone,20
54,Brooklyn,Columbia Street,Boro Zone,NA
55,Brooklyn,Coney Island,Boro Zone,34
56,Queens,Corona,Boro Zone,20
57,Queens,Corona,Boro Zone,20
58,Bronx,Country Club,Boro Zone,NA
59,Bronx,Crotona Park,Boro Zone,12
60,Bronx,Crotona Park East,Boro Zone,12
61,Brooklyn,Crown Heights North,Boro Zone,30
62,Brooklyn,Crown Heights South,Boro Zone,32
63,Brooklyn,Cypress Hills,Boro Zone,33
64,Queens,Douglaston,Boro Zone,NA
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,30
